user_id,timestamp,age_group,gender,education_stage,field_of_study,social_media_usage,media_trust,news_verification_habit
user_3f5faf08,2026-07-11T23:33:54.417664,25 - 34,أنثى,بكالوريوس / جامعي,علمي / تقني (هندسة، حاسب، علوم، طب...),بشكل يومي ومتكرر,منخفضة,نادراً
user_bc728b9a,2026-07-11T23:35:43.822161,25 - 34,أنثى,بكالوريوس / جامعي,علمي / تقني (هندسة، حاسب، علوم، طب...),بشكل يومي ومتكرر,منخفضة,نادراً
user_d7d54fc3,2026-07-11T23:36:54.940347,25 - 34,أنثى,ماجستير,علمي / تقني (هندسة، حاسب، علوم، طب...),بشكل يومي ومتكرر,منخفضة,نادراً
user_dc40c446,2026-07-11T23:41:37.610311,25 - 34,أنثى,ماجستير,علمي / تقني (هندسة، حاسب، علوم، طب...),بشكل يومي ومتكرر,منخفضة,أحياناً
user_43f7ef8d,2026-07-11T23:42:45.989743,25 - 34,أنثى,ماجستير,علمي / تقني (هندسة، حاسب، علوم، طب...),بشكل يومي ومتكرر,منخفضة,أحياناً
user_846656d8,2026-07-11T23:49:16.545770,25 - 34,أنثى,ماجستير,علمي / تقني (هندسة، حاسب، علوم، طب...),بشكل يومي ومتكرر,منخفضة,نادراً
